Squad,Comp,Player,Nation,Pos,Age,Born,MP,Minutes_Played,Mn_per_MP,Mins_Per_90,Starts,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,Goals,Assists,GoalsAssistsCombined,NonPKG,PK,PKatt,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,Gls_Per90,Ast_Per90,G+A_Per90,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,Shots,Shots_on_Target,SoT_percent,G_per_Sh,G_per_SoT,Avg_Shot_Dist,FK_Standard,G_minus_xG_Expected,np:G_minus_xG_Expected,Passes_Completed,Passes_Attempted,Passes_Cmp_percent,PrgDist_Total,Passes_Cmp_Short,Passes_Att_Short,Passes_Cmp_percent_Short,Passes_Cmp_Medium,Passes_Att_Medium,Passes_Cmp_percent_Medium,Passes_Cmp_Long,Passes_Att_Long,Passes_Cmp_percent_Long,xA_Expected,A_minus_xAG_Expected,Key_Passes,Final_Third,PPA,CrsPA,TB_Pass,Crs_Pass,Offside_Passes,Blocked_Passes,Shot_Creating_Actions,SCA_90,TakeOnTo_Shot,FoulTo_Shot,DefAction_Shot,GoalCreatingAction,GCA90,TakeOn_Goal,Fld_Goal,DefAction_Goal,Tackles,Tackles_Won,Def_3rd_Tackles,Mid_3rd_Tackles,Att_3rd_Tackles,Tkl_percent_won,Lost_Challenges,Blocks,Sh_Blocked,Passes_Blocked,Interceptions,Clearances,ErrorsLead_ToShot,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,TotDist_Carries,PrgDist_Carries,Miscontrolls,Dispossessed,2CrdY,Fouls_Comitted,Fouls_Drawn,Offsides,Crosses,PK_Won,PK_Conceded,Own_Goals,Loose_Ball_Recoveries,Won_Aerial,Lost_Aerial,Won_percent_Aerial,Goals_Against_GK,SoT_Against_GK,Saves_GK,Save_percent_GK,Clean_Sheets_GK,CS_percent_GK,PK_Faced_GK,PK_Allowed_GK,PK_Saved_GK,PK_Missed_GK,Save_percent_Penalty_GK,FK_Goals_GK,CornerKick_Goals_GK,OG_GK,PSxG_GK,PSxG_per_SoT_GK,PSxG+_per_minus_GK,LaunchedPassesCompleted_GK,LaunchedAttempted_GK,Cmp_percent_Launched_GK,Att_Passes_GK,Throws_GK,Launch_percent_Passes_GK,AvgLen_Passes_GK,Att_Goal_Kicks_GK,AvgLen_GoalKick_GK,CrossesFaced_GK,CrossedStopped_GK,CrossedStopped_Perc_GK,OPA_Sweeper_GK,OPA_per_90_Sweeper_GK,AvgDist_Sweeper_GK
Ajaccio,Ligue 1,Mickaël Alphonse,GLP,DF,33,1989,26,1361,52,15.1,14,0.73,7,30,-23,0,0,0,0,0,0,2,1,0.5,0.7,1.2,30,51,0,0,0,0,0,0.03,0.04,0.08,10,2,20,0,0,16.3,0,-0.5,-0.5,448,686,65.3,3413,197,237,83.1,190,272,69.9,45,133,33.8,0.9,-0.7,11,43,10,5,0,27,2,21,19,1.25,1,0,1,0,0,0,0,0,35,23,20,11,4,60.6,13,17,5,12,35,44,1,19,10,52.6,8,42.1,2988,1528,15,14,0,19,15,0,27,0,1,1,89,32,27,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Cédric Avinel,GLP,DF,35,1986,24,1794,75,19.9,19,0.63,11,40,-29,1,0,1,1,0,0,2,1,1,0,1,3,31,0.05,0,0.05,0.05,0.05,0.05,0,0.05,3,1,33.3,0.33,1,4.1,0,0,0,607,714,85,4107,174,194,89.7,346,388,89.2,71,108,65.7,0.1,0,0,13,0,0,0,0,0,2,3,0.15,0,0,0,1,0.05,0,0,0,13,7,8,5,0,66.7,4,20,13,7,15,91,1,1,0,0,0,0,3235,1495,3,0,0,12,2,0,0,0,2,0,93,38,15,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Mickaël Barreto,FRA,MF,31,1991,20,1325,66,14.7,15,0.6,6,34,-28,1,1,2,1,0,0,1,0,0.9,1.9,2.8,26,87,0.07,0.07,0.14,0.07,0.14,0.06,0.13,0.19,19,4,21.1,0.05,0.25,26.6,3,0.1,0.1,481,695,69.2,3373,205,247,83,179,239,74.9,80,173,46.2,2.1,-0.9,18,71,16,7,2,76,5,14,30,2.04,0,0,1,1,0.07,0,0,0,32,20,12,17,3,17.8,37,17,0,17,18,11,0,49,23,46.9,24,49,3671,1576,34,19,0,20,8,0,76,0,0,0,100,9,7,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Cyrille Bayala,BFA,MF,26,1996,33,2009,61,22.3,25,0.76,8,42,-34,1,1,2,1,0,0,3,1,2,2,4.1,46,66,0.04,0.04,0.09,0.04,0.09,0.09,0.09,0.18,22,6,27.3,0.05,0.17,15.2,0,-1,-1,399,654,61,2291,219,290,75.5,133,215,61.9,24,76,31.6,1.7,-1,19,45,14,7,5,44,4,32,43,1.93,4,4,4,2,0.09,0,0,1,53,37,16,20,17,48.9,24,20,3,17,25,21,0,68,25,36.8,38,55.9,4019,1631,56,35,0,29,28,7,44,0,0,0,150,41,57,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Youcef Belaïli,ALG,"MF,FW",30,1992,17,1150,68,12.8,15,0.88,12,23,-11,6,3,9,1,5,6,2,0,6.2,3.5,5.3,32,55,0.47,0.23,0.7,0.08,0.31,0.48,0.27,0.76,27,9,33.3,0.04,0.11,24.8,4,-0.2,-0.8,328,458,71.6,2159,162,201,80.6,101,137,73.7,44,74,59.5,3.3,-0.5,21,35,22,6,5,42,5,13,47,3.68,4,6,0,10,0.78,2,2,0,18,10,3,9,6,40,12,10,1,9,5,4,0,64,29,45.3,24,37.5,3115,1319,42,27,0,25,24,4,42,2,0,0,75,7,9,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Kouamé Botué,BFA,"FW,MF",19,2002,8,229,29,2.5,2,0.38,1,5,-4,0,0,0,0,0,0,0,0,1.2,0.1,1.3,4,4,0,0,0,0,0,0.48,0.05,0.53,7,0,0,0,,14.2,0,-1.2,-1.2,33,47,70.2,141,23,31,74.2,8,12,66.7,0,0,,0.1,-0.1,3,6,1,0,0,0,0,1,8,3.16,0,3,0,1,0.39,0,0,0,4,2,2,1,1,0,2,1,0,1,0,1,0,5,1,20,4,80,385,132,10,1,0,5,6,0,0,0,0,0,13,10,17,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Florian Chabrolle,FRA,MF,24,1998,7,329,47,3.7,3,0.43,3,12,-9,0,0,0,0,0,0,1,0,0.1,0,0.1,1,14,0,0,0,0,0,0.01,0,0.01,2,1,50,0,0,26.6,0,-0.1,-0.1,120,138,87,345,60,65,92.3,49,57,86,4,9,44.4,0.1,0,0,7,2,0,0,1,0,0,1,0.27,0,0,0,0,0,0,0,0,6,4,1,5,0,50,2,3,0,3,7,2,0,1,0,0,1,100,567,236,5,4,0,2,1,0,1,0,0,0,22,1,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Ivane Chegra,FRA,"MF,FW",18,2004,6,193,32,2.1,1,0.67,1,5,-4,0,0,0,0,0,0,0,0,0,0.1,0.1,7,7,0,0,0,0,0,0.01,0.04,0.06,1,0,0,0,,20.4,0,0,0,21,40,52.5,232,6,15,40,10,13,76.9,4,9,44.4,0.1,-0.1,1,5,1,0,1,4,0,2,5,2.33,0,0,0,1,0.47,0,0,0,8,3,6,1,1,36.4,7,0,0,0,1,0,0,8,3,37.5,4,50,355,159,7,5,0,3,3,2,4,0,0,0,12,2,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Yanis Cimignani,FRA,"MF,DF",20,2002,8,279,35,3.1,3,0.63,3,2,1,0,0,0,0,0,0,0,0,0.2,0.1,0.3,3,0,0,0,0,0,0,0.06,0.03,0.09,6,2,33.3,0,0,24.6,0,-0.2,-0.2,75,113,66.4,267,41,51,80.4,25,40,62.5,8,14,57.1,0.1,-0.1,3,1,2,2,0,10,1,6,8,2.58,0,0,0,0,0,0,0,0,11,5,3,7,1,80,1,5,1,4,2,2,0,6,2,33.3,4,66.7,471,197,4,5,0,5,2,0,10,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajaccio,Ligue 1,Gaëtan Courtet,FRA,FW,33,1989,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
