Category,Word To guess,Number of words,Total number of letters,First word letters
Around The House,A Glass Of Bourbon,4,15,1
Around The House,A Nice Hot Shower,4,14,1
Around The House,A Pile Of Coats,4,12,1
Around The House,A Pile Of Coats On The Bed,7,20,1
Around The House,A Shelf Full Of Knickknacks,5,23,1
Around The House,A Sock With Holes In It,6,18,1
Around The House,A Vase Filled With Sunflowers,5,25,1
Around The House,A Vase Of Flowers,4,14,1
Around The House,A Vase Of Fresh Cut Garden Flowers,7,28,1
Around The House,Accent Cabinet,2,13,6
Around The House,Accent Furniture,2,15,6
Around The House,Accent Window,2,12,6
Around The House,Address Book,2,11,7
Around The House,Address Labels,2,13,7
Around The House,Adjustable Shoe Rack,3,18,10
Around The House,Adjustable Swivel Stool,3,21,10
Around The House,Afghan Rug,2,9,6
Around The House,After- Shave Lotion,3,16,5
Around The House,After-Shave Lotion,2,16,10
Around The House,Air Conditioning,2,15,3
Around The House,Air Freshener,2,12,3
Around The House,Air Mattress,2,11,3
Around The House,Alarm Clock,2,10,5
Around The House,Alarm Clock With Nature Sounds,5,26,5
Around The House,All In One Home Gym,5,15,3
Around The House,All-In-One Home Gym,3,15,8
Around The House,All-Purpose Cleaner,2,17,10
Around The House,All-Purpose Cleaners,2,18,10
Around The House,Aloe-Vera Hand Soap,3,16,8
Around The House,An Air Conditioner Running Full Blast,6,32,2
Around The House,Angle Broom With Dustpan,4,21,5
Around The House,Angora Sweater,2,13,6
Around The House,Animal-Shaped Lamps,2,17,12
Around The House,Annual Sailing Weekend Event,4,25,6
Around The House,Antibacterial Hand Wipes,3,22,13
Around The House,Antiplaque Mouthwash,2,19,10
Around The House,Antique Bathtub,2,14,7
Around The House,Antique Clock,2,12,7
Around The House,Antique Desk Lamp,3,15,7
Around The House,Antique Dining Table,3,18,7
Around The House,Antique Four-Poster Bed,3,20,7
Around The House,Antique Furnishings,2,18,7
Around The House,Antique Jewelry Box,3,17,7
Around The House,Antique Mirror,2,13,7
Around The House,Antique Oak Bookcase,3,18,7
Around The House,Antique Polaroid Camera,3,21,7
Around The House,Antique Porcelain Vase,3,20,7
Around The House,Antique Quilts,2,13,7
Around The House,Antique Sewing Machine,3,20,7
Around The House,Antique Sterling-Silver Coffeepot,3,30,7
Around The House,Antique Telephone,2,16,7
Around The House,Antique Vase,2,11,7
Around The House,Antique Victrola,2,15,7
Around The House,Anti-Wrinkle Cream,2,16,11
Around The House,Apple Cinnamon Candle,3,19,5
Around The House,Appointment Book,2,15,11
Around The House,Area Rugs,2,8,4
Around The House,Arm & Hammer Spinbrush,3,18,3
Around The House,Armchair,1,8,8
Around The House,Armless Chair,2,12,7
Around The House,Around The House,3,14,6
Around The House,Art Deco Bedroom Set,4,17,3
Around The House,Attic Stairs,2,11,5
Around The House,Automatic Garage Door Opener,4,25,9
Around The House,Automatic Garage-Door Opener,3,25,9
Around The House,Autumn Branch Centerpiece,3,23,6
Around The House,Autumn-Branch Centerpiece,2,23,12
Around The House,Baby Oil,2,7,4
Around The House,Baby Powder,2,10,4
Around The House,Baby Quilt,2,9,4
Around The House,Baby Shampoo,2,11,4
Around The House,Baby Wipes,2,9,4
Around The House,Baby's Highchair,2,14,5
Around The House,Backdoor,1,8,8
Around The House,Backyard Bird Feeder,3,18,8
Around The House,Backyard Birdhouse,2,17,8
Around The House,Backyard Furniture,2,17,8
Around The House,Backyard Gazebo,2,14,8
Around The House,Backyard Pool,2,12,8
Around The House,Bacon-Flavored Toothpaste,2,23,13
Around The House,Baker's Rack With Wine Storage,5,25,6
Around The House,Baking Powder,2,12,6
Around The House,Baking Supplies,2,14,6
Around The House,Bamboo Coffee Table,3,17,6
Around The House,Bamboo Drawer Organizers,3,22,6
Around The House,Bamboo Place Mats,3,15,6
Around The House,Bamboo Shoe Rack,3,14,6
Around The House,Bar Soap,2,7,3
Around The House,Barbecue Grill,2,13,8
Around The House,Barbecue Supplies,2,16,8
Around The House,Barbecue Tongs,2,13,8
Around The House,Bath Mat,2,7,4
Around The House,Bath Products,2,12,4
Around The House,Bath Towel,2,9,4
Around The House,Bath Towels,2,10,4
Around The House,Bathmat,1,7,7
Around The House,Bathmats,1,8,8
Around The House,Bathroom Cleaner,2,15,8
Around The House,Bathroom Cleaner With Bleach,4,25,8
Around The House,Bathroom Fixtures,2,16,8
Around The House,Bathroom Mirror,2,14,8
Around The House,Bathroom Scale,2,13,8
Around The House,Bathroom Scales,2,14,8
Around The House,Bathroom Soap Dispenser,3,21,8
Around The House,Bathroom Window,2,14,8
Around The House,Bathtub,1,7,7
Around The House,Battery Charger,2,14,7
Around The House,Bay Window,2,9,3
Around The House,Bayberry Candles,2,15,8
Around The House,Beaded Napkin Rings,3,17,6
